Id_Rssd,N,asOfDate
1132449,1,2005-12-31
1132449,1,2006-03-31
1132449,1,2006-06-30
1132449,1,2006-09-30
1132449,1,2006-12-31
1132449,1,2007-03-31
1132449,1,2007-06-30
1132449,1,2007-09-30
1132449,1,2007-12-31
1132449,1,2008-03-31
1132449,1,2008-06-30
1132449,1,2008-09-30
1132449,1,2008-12-31
1132449,1,2009-03-31
1132449,1,2009-06-30
1132449,1,2009-09-30
1132449,1,2009-12-31
1132449,1,2010-03-31
1132449,1,2010-06-30
1132449,1,2010-09-30
1132449,1,2010-12-31
1132449,1,2011-03-31
1132449,1,2011-06-30
1132449,1,2011-09-30
1132449,1,2011-12-31
1132449,1,2012-03-31
1132449,1,2012-06-30
1132449,1,2012-09-30
1132449,1,2012-12-31
1132449,0,2013-03-31
1132449,0,2013-06-30
1132449,0,2013-09-30
1132449,0,2013-12-31
1132449,0,2014-03-31
1132449,0,2014-06-30
1132449,0,2014-09-30
1132449,0,2014-12-31
1132449,0,2015-03-31
1132449,0,2015-06-30
1132449,0,2015-09-30
1132449,0,2015-12-31
1132449,0,2016-03-31
1132449,0,2016-06-30
1132449,0,2016-09-30
1132449,0,2016-12-31
1132449,0,2017-03-31
1132449,0,2017-06-30
1132449,0,2017-09-30
1132449,0,2017-12-31
1132449,0,2018-03-31
1132449,0,2018-06-30
1132449,0,2018-09-30
1199611,5,1999-12-31
1199611,5,2000-03-31
